,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
84,Kaitangata,100,NZ,1584326893,76,-46.28,169.85,55.0,1.99
85,Yulara,0,AU,1584327042,9,-25.24,130.99,87.8,8.05
86,Rodrigues Alves,90,BR,1584327405,100,-7.74,-72.65,75.2,4.7
87,Umeå,32,SE,1584327405,59,63.83,20.26,35.6,24.16
88,Magugu,100,TZ,1584327405,93,-4.02,35.77,65.88,0.56
89,Nanortalik,19,GL,1584327030,65,60.14,-45.24,18.41,24.92
90,Ushumun,100,RU,1584327405,89,52.78,126.53,21.27,0.67
91,Kinango,100,KE,1584327405,92,-4.14,39.32,77.04,2.21
92,Qaanaaq,100,GL,1584327056,51,77.48,-69.36,-2.33,6.87
93,Along,100,IN,1584327016,78,28.17,94.77,65.64,2.01
94,Sterling,1,US,1584327198,100,39.01,-77.43,43.0,3.36
95,Springbok,0,ZA,1584327405,61,-29.66,17.89,61.23,12.26
96,Makīnsk,24,KZ,1584327061,88,52.63,70.42,26.56,4.32
97,Vanimo,100,PG,1584327028,89,-2.67,141.3,76.68,6.42
98,Lebu,0,CL,1584326923,76,-37.62,-73.65,56.28,8.46
99,Gallup,1,US,1584327134,34,35.53,-108.74,48.2,6.93
100,Cape Town,20,ZA,1584326706,68,-33.93,18.42,64.99,13.87
101,Kapaa,75,US,1584326989,78,22.08,-159.32,78.8,8.05
102,Codrington,0,AU,1584326947,76,-38.27,141.97,60.51,13.85
103,Souillac,40,MU,1584327018,88,-20.52,57.52,75.2,2.24
104,Huarmey,100,PE,1584327405,69,-10.07,-78.15,73.71,2.3
105,Kankakee,1,US,1584327406,78,41.15,-87.87,35.01,5.82
106,Cabo San Lucas,75,MX,1584326825,72,22.89,-109.91,70.0,3.36
107,Iqaluit,90,CA,1584326936,70,63.75,-68.51,-0.4,4.7
108,Sitka,1,US,1584327002,70,57.05,-135.33,42.8,12.75
109,Jardim,31,BR,1584327406,71,-21.48,-56.14,76.1,3.56
110,East London,97,ZA,1584327024,71,-33.02,27.91,69.26,11.86
111,Tuktoyaktuk,20,CA,1584327000,76,69.45,-133.04,-7.6,5.82
112,Pevek,0,RU,1584326997,82,69.7,170.31,7.54,12.26
113,Aklavik,75,CA,1584327002,65,68.22,-135.01,3.2,2.24
114,Mukhtolovo,94,RU,1584327406,83,55.46,43.2,23.77,8.88
115,Gushikawa,0,JP,1584327406,40,26.35,127.87,69.8,17.22
116,Berlevåg,100,NO,1584327253,64,70.86,29.09,29.03,11.18
117,Puerto Peñasco,0,MX,1584327406,81,31.32,-113.53,63.0,5.97
118,Esna,0,EG,1584327406,72,25.29,32.55,60.8,2.91
119,Vaini,90,TO,1584326780,89,-21.2,-175.2,84.2,12.75
120,Noril'sk,75,RU,1584327406,83,69.35,88.2,-13.0,11.18
121,Paamiut,0,GL,1584327019,59,61.99,-49.67,-4.2,15.32
122,Lodja,100,CD,1584327406,99,-3.48,23.43,69.58,0.83
123,Stranda,1,NO,1584327406,64,62.31,6.94,35.6,14.99
124,Umluj,0,SA,1584327406,37,25.02,37.27,68.52,9.75
125,Arraial do Cabo,0,BR,1584327025,83,-22.97,-42.03,77.9,26.57
126,Saskylakh,100,RU,1584327035,95,71.92,114.08,-12.32,20.71
127,Hong Kong,20,HK,1584326830,64,22.29,114.16,75.0,19.46
128,Spornoye,4,RU,1584327407,79,50.84,37.29,21.2,8.95
129,Yar-Sale,0,RU,1584327407,95,66.83,70.83,-10.44,4.43
130,Faanui,8,PF,1584326831,71,-16.48,-151.75,83.32,10.18
131,Alofi,100,NU,1584327407,79,-19.06,-169.92,86.0,8.05
132,Xingtai,100,CN,1584327407,31,37.06,114.49,57.61,2.93
133,Vao,10,NC,1584327407,72,-22.67,167.48,81.21,28.14
134,Capim Grosso,100,BR,1584327304,87,-11.38,-40.01,72.12,7.38
135,Cabadiangan,72,PH,1584327407,56,9.75,122.47,85.15,5.75
136,Calvinia,0,ZA,1584327044,71,-31.47,19.78,57.9,17.94
137,Praia,20,CV,1584326906,77,14.92,-23.51,69.8,19.46
138,Airai,97,TL,1584327004,58,-8.93,125.41,80.28,5.86
139,Bethel,5,US,1584326859,29,41.37,-73.41,44.01,10.29
140,Bambous Virieux,40,MU,1584327407,88,-20.34,57.76,75.2,2.24
141,Saint-Pierre,13,RE,1584327109,60,-21.34,55.48,75.2,9.17
142,Muroto-misakicho,75,JP,1584327407,49,33.28,134.15,48.2,11.41
143,Yunyang,100,CN,1584327407,25,33.45,112.71,64.56,5.08
144,Bubanza Province,2,BI,1584327408,93,-3.12,29.4,57.61,1.12
145,Bengkulu,74,ID,1584327408,58,-3.8,102.27,88.81,1.43
146,Goundi,0,TD,1584327408,13,9.36,17.37,71.78,3.76
147,San Patricio,40,MX,1584326781,78,19.22,-104.7,80.6,5.82
148,Vrbové,0,SK,1584327408,37,48.62,17.72,37.0,16.11
149,Port Elizabeth,90,ZA,1584326544,93,-33.92,25.57,62.6,6.93
150,Puyang,0,CN,1584327145,55,29.46,119.89,61.92,3.62
151,Pangnirtung,100,CA,1584327408,91,66.15,-65.71,-19.59,7.7
152,Marrakesh,40,MA,1584327408,76,31.63,-8.01,57.2,8.05
153,Narsaq,100,GL,1584327051,48,60.92,-46.05,21.2,3.36
154,Two Hills,66,CA,1584327408,92,53.72,-111.75,1.89,8.77
155,Bredasdorp,76,ZA,1584326850,88,-34.53,20.04,62.6,12.75
156,Cotonou,7,BJ,1584327408,84,6.37,2.42,81.63,6.8
157,Kabare,4,CD,1584327408,94,-2.47,28.82,58.82,0.85
158,La Palma,90,US,1584326702,62,33.85,-118.05,61.0,6.93
159,Cocobeach,40,GA,1584327408,94,1.0,9.58,80.6,2.24
160,Dodoma,100,TZ,1584327408,92,-6.17,35.74,67.12,1.5
161,New Norfolk,20,AU,1584327408,52,-42.78,147.06,72.0,10.29
162,Bakchar,100,RU,1584327144,87,57.02,82.07,33.03,18.95
163,Antalaha,100,MG,1584327409,76,-14.9,50.28,80.85,14.65
164,Doha,15,QA,1584327409,73,25.29,51.53,72.0,4.12
165,Koygorodok,0,RU,1584327409,96,60.45,51.0,6.87,3.85
166,Acapulco de Juárez,20,MX,1584327409,78,16.86,-99.89,82.4,9.17
167,Kieta,100,PG,1584327121,72,-6.22,155.63,83.5,6.33
168,Chokurdakh,0,RU,1584326938,87,70.63,147.92,-9.85,5.7
169,Itupiranga,75,BR,1584327244,100,-5.13,-49.33,73.4,4.7
170,Faya,16,SA,1584327085,87,18.39,42.45,55.4,3.53
171,Jieshi,15,CN,1584327409,42,22.81,115.83,71.01,13.22
172,Fuyang,100,CN,1584327409,56,32.9,115.82,60.39,9.44
173,Winnemucca,90,US,1584327409,70,40.97,-117.74,42.8,10.29
174,Kuching,40,MY,1584327409,100,1.55,110.33,78.01,4.7
175,Kahului,90,US,1584327089,82,20.89,-156.47,80.6,6.93
176,Port Lincoln,57,AU,1584327057,41,-34.73,135.87,74.35,16.67
177,Hokitika,0,NZ,1584327409,74,-42.72,170.97,61.57,14.85
178,Lensk,100,RU,1584327048,89,60.73,114.93,30.42,12.08
179,Grindavik,90,IS,1584327409,93,63.84,-22.43,35.6,34.45
180,Tomatlán,56,MX,1584326764,92,19.93,-105.25,69.26,1.72
181,Fortuna,20,US,1584327409,80,40.6,-124.16,44.6,12.75
182,Przasnysz,83,PL,1584327409,42,53.02,20.88,32.0,8.05
183,Klaksvík,100,FO,1584327022,69,62.23,-6.59,33.8,18.34
184,Tuatapere,78,NZ,1584327066,69,-46.13,167.68,55.0,15.99
185,Bac Lieu,0,VN,1584327104,44,9.29,105.72,92.1,19.82
186,Lima,75,PE,1584327030,83,-12.04,-77.03,75.2,14.99
187,Chaozhou,29,CN,1584327410,48,23.67,116.64,66.2,6.71
188,Opuwo,100,NA,1584327410,43,-18.06,13.84,67.68,4.83
189,Nikolskoye,90,RU,1584326867,64,59.7,30.79,33.8,11.18
190,Tiarei,40,PF,1584327410,62,-17.53,-149.33,87.8,11.41
191,Kuytun,100,RU,1584326874,98,54.34,101.5,30.47,6.08
192,Camaná,100,PE,1584327410,91,-16.62,-72.71,65.88,4.21
